ORIG_FID,Width,Length,Orient,Area,Elong,Bed,Topo,Y/N,rf_bedform_pred,xgb_bedform_pred,ens_bedform_pred
3433,95.44541277,731.5090991,21.14566345,57207.58962,7.664161932,0,1,1,1,1,1
3443,50.09939104,269.0448871,13.06351538,10791.10062,5.370222701,0,1,1,0,0,0
3502,223.472535,755.3084842,18.29757857,131929.4875,3.379871643,0,1,1,1,1,1
3517,122.318477,519.4950855,77.65857819,32951.49513,4.247069604,0,1,0,1,0,0
3555,90.62157447,738.2208718,6.548623852,60333.22085,8.1461934,0,1,0,1,1,1
3621,83.92627231,269.695092,43.40558873,15541.819,3.213476359,0,1,1,0,0,0
3632,199.6465821,743.1333672,3.810839388,93880.79199,3.722244376,0,1,0,1,1,1
3712,41.98300262,414.2208904,36.53624845,14995.55303,9.866395077,0,1,1,0,1,0
3840,121.7651704,784.7744187,3.278220318,55982.42254,6.444982719,0,1,0,1,1,1
3908,122.7491234,188.5127778,173.967131,17287.04247,1.535756611,0,1,0,0,0,0
3923,117.8359633,653.8531413,42.68395251,59750.40695,5.548841994,0,1,1,1,1,1
4020,145.1534502,225.6382092,4.809441204,19152.66854,1.55448051,0,1,0,0,0,0
4042,190.1809721,783.5801138,18.24847627,119845.7726,4.120181453,0,1,1,1,1,1
4075,150.6646352,355.7500303,135.1169981,30378.72144,2.361204604,0,1,0,0,0,0
4105,78.86964858,234.8243623,33.39638115,13443.53962,2.977373001,0,1,0,0,0,0
4109,62.85951125,652.0864019,5.364357501,29940.96855,10.37371098,0,1,1,1,1,1
4119,157.2690447,319.9263666,139.1841941,32667.15207,2.034261524,0,1,0,0,0,0
4200,129.7486683,606.7883905,34.36625768,57684.41227,4.676644459,0,1,1,1,0,1
4390,77.08742477,852.1352659,37.96751832,57283.35243,11.05414104,0,1,1,1,1,1
4391,158.4985157,437.714931,164.70387,59360.64387,2.761634259,0,1,0,0,0,0
4407,158.0944835,1125.639195,37.56954065,131639.0078,7.120040939,0,1,1,1,1,1
4426,55.49906978,245.0167217,34.40509383,11541.77738,4.414789701,0,1,1,0,0,0
4547,418.1863275,984.7001692,19.30406031,277135.0379,2.354692405,0,1,0,1,0,0
4560,114.5874436,417.0141154,6.029681804,30347.19356,3.639265371,0,1,0,0,0,0
4641,177.1725428,628.6895293,166.3647751,71471.492,3.548459142,0,1,0,1,1,1
4661,62.76701482,521.2710438,40.7970419,25718.27535,8.304856386,0,1,1,1,1,1
4782,49.51632353,255.1419888,11.01747356,10022.56482,5.152684419,0,1,0,0,0,0
4808,33.78903806,333.4509464,22.3452148,9186.656693,9.868613183,0,1,1,0,1,0
4809,58.41881434,241.6971762,10.26302036,12223.59751,4.137317385,0,1,1,0,0,0
4832,207.272304,493.8777911,46.87868206,78502.0257,2.382748594,0,1,0,1,0,0
4917,194.7215394,492.4911327,16.20919745,82317.7826,2.529207268,0,1,0,1,0,1
4933,94.52478305,342.2467595,9.143020562,26170.89224,3.620709283,0,1,1,0,0,0
5043,119.6403436,669.9647455,178.3342853,60848.28129,5.599822981,0,1,0,1,1,1
5046,75.76346673,188.1070008,171.9722867,12321.75829,2.482819344,0,1,0,0,0,0
5052,117.7838519,665.8385555,33.26953973,47100.19913,5.653054685,0,1,1,1,1,1
5092,68.44140625,241.9517598,176.3937185,12632.07229,3.535166401,0,1,0,0,0,0
5158,169.5340356,1043.018134,8.128630558,125010.4586,6.152263941,0,1,1,1,1,1
5159,323.4963082,1076.86212,16.46393098,258263.2481,3.328823522,0,1,0,1,1,1
5288,102.5031075,930.1307471,39.28110681,72317.3659,9.074171214,0,1,1,1,1,1
5399,186.0019916,461.6426425,156.3145045,73775.33131,2.481923116,0,1,0,1,0,0
5420,125.0913275,231.6960019,22.45238018,18506.41542,1.85221475,0,1,0,0,0,0
5463,133.0586209,1014.796243,8.739555678,101012.1769,7.626685418,0,1,1,1,1,1
5510,56.46025872,185.6332556,34.10145618,8245.699182,3.287856977,0,1,0,0,0,0
5537,89.46777106,222.2138472,80.57149773,14627.59026,2.483730673,0,1,0,0,0,0
5570,36.86195427,629.6836467,40.96365536,13136.22876,17.08221008,0,1,0,0,1,0
5615,91.14212969,158.0130694,40.73268808,9388.928386,1.733699552,0,1,0,0,0,0
5627,40.21261922,313.8369611,20.75378,10643.63997,7.804439682,0,1,1,0,1,0
5637,26.45311945,882.0640997,92.78737714,15443.94149,33.3444266,0,1,0,0,1,0
5648,193.6557118,407.5886688,136.2274485,51098.9558,2.104707705,0,1,0,0,0,0
5677,57.76406366,359.4291166,3.237512646,13429.32965,6.222365496,0,1,0,0,1,0
5691,52.55476395,483.3682478,7.187156916,21174.1578,9.197420205,0,1,1,1,1,1
5818,192.7414458,975.0772497,25.99333293,152162.9434,5.058991052,0,1,1,1,1,1
5834,137.4869639,894.6823277,38.45800176,96595.12412,6.507397516,0,1,1,1,1,1
5884,89.81011963,280.1213504,39.64488467,16858.23858,3.119039942,0,1,0,0,0,0
5927,92.08510261,233.6848497,7.359457462,14758.09064,2.537705265,0,1,1,0,0,0
5954,91.91574339,330.1143661,178.9843296,24144.22888,3.591488834,0,1,1,1,0,0
6008,94.20293592,546.3818137,36.29080095,37299.85904,5.800050798,0,1,1,1,1,1
6032,103.8176394,211.8718831,3.815199116,17245.01622,2.040808136,0,1,1,0,0,0
6034,65.96480556,193.2572157,43.58499817,9150.511294,2.929701893,0,1,0,0,0,0
6110,187.4772997,282.4088124,76.8000035,38925.55074,1.506362705,0,1,0,0,0,0
6241,94.45184033,420.9959386,26.32373464,28534.95561,4.457255011,0,1,1,1,0,0
6267,163.8013811,1300.282163,10.98369028,160651.8715,7.938163608,0,1,1,1,1,1
6274,300.6183594,472.7699944,19.300569,86833.92481,1.572658421,0,1,0,0,0,0
6370,260.8739488,1313.17106,171.5610607,302079.2163,5.03373781,0,1,0,1,1,1
6446,27.71897177,631.4995584,179.6886467,12246.88799,22.78221442,0,1,0,0,1,0
6480,95.76268132,902.3323034,9.277377791,70668.63247,9.422588121,0,1,1,1,1,1
6486,180.2561883,727.6358929,177.4304763,75348.46649,4.036676352,0,1,0,1,1,1
6556,89.03231117,244.0985229,13.8304316,14280.50648,2.741684673,0,1,0,0,0,0
6568,24.12736462,459.0512881,23.96130089,8544.511794,19.02616781,0,1,0,0,0,0
6621,87.3680612,340.5909554,19.09057819,23536.30111,3.898346268,0,1,1,0,0,0
6662,239.5361971,540.4409227,32.39010348,94257.38984,2.256197306,0,1,0,0,0,0
6663,240.0049677,1400.844106,13.76538202,278837.472,5.836729627,0,1,1,1,1,1
6752,172.8331886,1176.504089,12.92213279,164488.5923,6.807165329,0,1,0,1,1,1
6761,98.86531252,323.2017215,178.1604496,23519.86667,3.269111413,0,1,0,0,0,0
6896,200.5751984,1223.662627,7.002487374,205728.5092,6.100767378,0,1,0,1,1,1
7010,41.56444393,785.8466605,178.8397749,25466.12615,18.90670453,0,1,0,1,1,1
7012,85.99248259,176.0431964,55.03321078,8323.676782,2.04719286,0,1,0,0,0,0
7029,92.4505672,278.2813519,2.361987699,19191.02293,3.010055647,0,1,0,0,0,0
7086,73.88785527,205.6505111,26.17543897,11311.48816,2.783278934,0,1,1,0,0,0
7092,51.08146149,275.5508799,30.53391714,10107.20791,5.394342132,0,1,0,0,0,0
7098,88.49817875,425.2710772,10.86585845,28310.10871,4.805421798,0,1,0,1,1,1
7172,70.83788357,382.6530234,4.52007244,20722.30485,5.401813325,0,1,1,0,1,0
7210,83.25383471,163.5241825,168.9458721,8798.5892,1.96416397,0,1,0,0,0,0
7267,66.6153198,519.4403468,31.19670713,27880.53634,7.797610945,0,1,1,1,1,1
7306,105.6006145,507.4944474,22.81723561,42592.22949,4.805790667,0,1,1,1,1,1
7349,176.4647201,1447.601861,28.04363198,200835.6292,8.203349997,0,1,1,1,1,1
7366,125.8825508,533.1925043,5.652807863,54461.46245,4.235634732,0,1,1,1,0,1
7386,149.8329382,660.8271331,37.83695439,72023.39914,4.410426311,0,1,1,1,1,1
7441,63.79989971,361.2080891,4.438125404,18316.83447,5.661577694,0,1,1,0,1,0
7460,52.20087812,1185.94063,132.6851542,42579.72644,22.71878697,0,1,0,1,1,1
7551,463.4813776,1839.726984,42.48695882,570025.1683,3.969365487,0,1,0,1,1,1
7590,182.6880058,993.9778543,43.25741362,132460.8479,5.440849002,0,1,0,1,1,1
7613,255.6010939,324.2981757,118.0170523,49310.68655,1.268766775,0,1,0,0,0,0
7626,62.06454738,528.3759481,42.35513015,30197.73303,8.513329597,0,1,1,1,1,1
7705,124.4015608,446.1739345,14.20523187,39612.25499,3.586562191,0,1,0,1,0,1
7793,52.23489697,591.3949608,168.0041511,17125.13095,11.32183646,0,1,0,0,1,0
7846,30.20258641,571.0387466,45.99796893,11474.41997,18.90694852,0,1,0,0,1,0
7935,249.5152324,796.6102116,172.8921638,119863.1738,3.192631583,0,1,0,1,1,1
7961,123.4693756,609.4957891,35.57214758,60416.86009,4.936412663,0,1,1,1,1,1
8010,201.7181419,712.7404806,41.65597257,123497.0032,3.533348433,0,1,1,1,1,1
8060,105.1150002,419.7007381,20.16192937,36389.4774,3.992776839,0,1,0,1,0,1
8139,67.84833912,657.219506,10.60017931,31657.56626,9.68659682,0,1,1,1,1,1
8364,220.8851212,690.2973866,11.30897869,131916.8027,3.125142078,0,1,0,1,1,1
8385,100.8737014,211.5305253,5.711330103,13878.85378,2.096983874,0,1,0,0,0,0
8412,186.6817007,950.6568791,3.40512181,132212.4417,5.092394572,0,1,0,1,1,1
8634,280.3917848,929.1298243,171.7353368,140492.9036,3.313684189,0,1,0,1,1,1
8663,96.88303708,889.9873963,5.441595675,68541.31766,9.186204552,0,1,1,1,1,1
8708,68.35979061,273.7171003,9.221431993,13340.06306,4.004065809,0,1,1,0,0,0
8739,102.7156224,1544.175513,7.417385721,126327.848,15.03350197,0,1,1,1,1,1
8956,106.3772766,932.6040147,28.05580087,85425.31968,8.766947644,0,1,1,1,1,1
9001,71.96939289,235.0637013,8.440678203,14714.73693,3.266162071,0,1,0,0,0,0
9130,184.912318,1102.150135,23.62922076,161748.7827,5.960393265,0,1,1,1,1,1
9310,61.06863364,472.1624392,21.75964295,25694.21378,7.731668632,0,1,1,1,1,1
9529,128.2569628,374.509915,174.0325188,28465.65537,2.919996753,0,1,0,0,0,0
9538,28.01661153,489.5580978,127.331828,10868.19737,17.47385109,0,1,0,0,1,0
9602,395.632509,932.4944555,50.7073761,215651.0534,2.356971266,0,1,0,1,0,0
9621,86.85636567,161.750862,169.9472539,10039.96998,1.862279878,0,1,0,0,0,0
9689,105.6888008,191.7355958,27.58410619,12401.14674,1.814152439,0,1,0,0,0,0
9823,330.6585418,1805.538728,28.95852564,446009.9261,5.460432742,0,1,0,1,1,1
9835,126.8241174,493.6120092,38.7936956,51983.22002,3.89209891,0,1,0,1,0,1
9905,84.79525767,790.8775769,19.52549229,42966.53851,9.326908116,0,1,0,1,1,1
9923,97.1613529,168.1706963,105.1190766,13367.01592,1.730839385,0,1,0,0,0,0
9960,89.92833437,143.2573193,74.47919232,9894.396854,1.593016487,0,1,0,0,0,0
9998,127.0063926,1030.237158,6.688883204,109412.8137,8.111695301,0,1,1,1,1,1
10102,203.6107994,1140.023565,31.84367823,174979.9556,5.599032902,0,1,0,1,1,1
10204,88.44230116,365.3994499,4.942055785,17827.18137,4.131500935,0,1,0,0,0,0
10241,86.59008977,496.5945197,14.84318986,34873.30347,5.735004099,0,1,1,1,1,1
10257,70.03856019,167.7186918,163.0966319,8257.122907,2.394662188,0,1,0,0,0,0
10311,103.4068724,407.6684666,16.07804486,30358.10268,3.942373047,0,1,0,1,0,0
10318,231.0073,823.2965676,10.3325897,144646.25,3.563941779,0,1,0,1,1,1
10339,91.47308274,429.7950341,8.316495176,33294.02896,4.69859571,0,1,1,1,0,0
10365,131.6436997,1415.894847,24.36119781,148139.8118,10.75550786,0,1,1,1,1,1
10431,131.1558208,1277.14428,11.16271638,152213.4015,9.737610368,0,1,1,1,1,1
10494,136.3339751,1327.878741,32.36121525,129710.0402,9.73989602,0,1,1,1,1,1
10495,252.9322681,299.1579847,35.81645913,40560.82427,1.18275927,0,1,0,0,0,0
10538,261.9541226,1580.927754,8.013540045,282556.7749,6.035132176,0,1,0,1,1,1
10562,84.74220065,222.399174,30.05219572,14817.04932,2.624420563,0,1,0,0,0,0
10579,54.12394702,330.5866053,10.32782669,13192.49599,6.107954491,0,1,1,0,1,0
10583,90.47991487,177.932519,50.02617102,11651.93996,1.966541627,0,1,0,0,0,0
10589,25.72439243,740.7891046,177.3226427,15606.02157,28.79714678,0,1,0,0,1,0
10633,115.4176087,1586.503411,7.3749391,160975.6039,13.74576574,0,1,0,1,1,1
10687,109.1437407,677.428412,17.07495298,59801.80251,6.206754577,0,1,1,1,1,1
10697,349.7530559,1220.362049,30.85831999,239992.8621,3.489210539,0,1,0,1,1,1
10738,130.3847453,288.1665686,175.0230263,27077.78316,2.210124873,0,1,0,0,0,0
10765,98.79285625,1251.310542,4.264782547,97130.44574,12.66600228,0,1,1,1,1,1
10848,204.0563938,432.4934802,30.72169282,63136.07184,2.11948017,0,1,0,0,0,0
10881,128.3568011,203.849848,12.67659432,19823.74376,1.588149955,0,1,0,0,0,0
10937,136.7252332,715.0050241,34.39353699,79671.47772,5.22950305,0,1,1,1,1,1
10985,77.99249029,1440.475936,10.07489883,104700.2357,18.46941841,0,1,1,1,1,1
10990,229.4550184,1181.742683,176.7481124,200484.2321,5.150215025,0,1,0,1,1,1
11084,75.72211119,247.5905342,18.88574975,16053.59002,3.269725716,0,1,0,0,0,0
11200,150.2741938,798.6638865,45.7102034,81945.40067,5.314710839,0,1,0,1,1,1
11321,55.42905152,210.5243087,21.47280946,8179.984243,3.798086073,0,1,0,0,0,0
11386,69.5119926,220.3573706,16.90271434,12152.78927,3.170062638,0,1,0,0,0,0
11395,49.37737475,790.9414901,136.8006976,28081.24409,16.01829773,0,1,0,1,1,1
11429,94.75288803,149.9410493,13.27325481,10437.4384,1.582443052,0,1,0,0,0,0
11450,96.52791011,666.2897665,3.368403592,53763.33546,6.90256078,0,1,1,1,1,1
11500,105.4696962,497.7775715,171.6261395,41055.381,4.719626484,0,1,0,1,0,1
11511,96.49607011,226.2948166,30.53106022,14671.08504,2.34511951,0,1,0,0,0,0
11525,88.51714687,308.3969597,25.86383377,21886.83345,3.484036377,0,1,1,1,0,0
11568,59.97403527,289.821155,20.51577918,13743.70322,4.832443801,0,1,1,0,0,0
11607,99.13160771,276.0747714,16.73449744,20746.23561,2.784931848,0,1,0,0,0,0
11789,79.19632534,319.0736277,35.74120449,19440.78516,4.02889435,0,1,1,0,0,0
11857,96.09881636,297.6410468,7.308848105,17915.39738,3.097239467,0,1,0,0,0,0
11955,183.1973104,1093.027027,33.60787661,150076.3829,5.966392329,0,1,1,1,1,1
11983,104.8107771,173.8597762,3.405655905,13096.73132,1.658796748,0,1,0,0,0,0
12072,91.43596361,224.0559025,23.86314419,15415.18981,2.450413313,0,1,0,0,0,0
12146,257.5210508,1086.498354,37.41045331,187447.1588,4.219066171,0,1,1,1,1,1
12191,59.97634551,261.5734165,11.51071041,11863.11067,4.361276337,0,1,0,0,0,0
12273,348.746196,1439.917401,51.57278004,361472.9114,4.12884045,0,1,0,1,1,1
12280,97.89049768,309.9556154,39.76304298,19308.84438,3.166350389,0,1,1,0,0,0
12309,91.61610175,1001.051003,11.89411605,83508.46092,10.92658369,0,1,1,1,1,1
12335,67.31074015,278.8436285,23.89024279,10670.29753,4.142632035,0,1,1,0,0,0
12445,100.7773438,1633.571429,2.249557041,137720.2989,16.20970912,0,1,0,1,1,1
12449,39.9489297,393.5297563,60.03467408,9158.691484,9.850821017,0,1,0,0,1,0
12477,141.5321379,743.9404032,29.29016066,80536.40453,5.256335515,0,1,1,1,1,1
12482,63.72413419,477.8998429,30.21807444,25192.94443,7.499510963,0,1,1,1,1,1
12488,78.76975027,157.5031587,18.36597221,9237.252119,1.999538633,0,1,0,0,0,0
12525,273.1167052,1182.752174,10.59448871,225686.792,4.330574262,0,1,0,1,1,1
12562,98.38430932,192.7938987,156.0922027,13255.31512,1.959600062,0,1,0,0,0,0
12758,186.8675499,1313.397211,176.0020836,174436.2768,7.028492701,0,1,1,1,1,1
12800,188.5271516,1026.328955,3.104983922,149820.2826,5.443931797,0,1,0,1,1,1
12878,160.9108601,1847.388089,8.375416849,200125.9714,11.4808167,0,1,1,1,1,1
12920,64.9859884,303.5100466,33.01083736,16844.22546,4.670392097,0,1,0,0,0,0
12925,137.9693613,516.4641871,175.6019095,55814.89566,3.7433252,0,1,0,1,0,1
13068,132.0985193,921.683005,8.577899628,98009.40393,6.977239486,0,1,1,1,1,1
13093,197.8429285,1028.825758,8.085831625,164260.6398,5.200214967,0,1,1,1,1,1
13173,91.94643695,891.0107236,38.52397754,60151.5568,9.690541072,0,1,1,1,1,1
13191,126.4637255,496.6316711,39.54219395,50874.94243,3.92706817,0,1,0,1,0,1
13287,81.28025769,165.7517122,44.12298754,10122.89147,2.039261648,0,1,0,0,0,0
13346,170.4821752,1046.929439,38.83510533,121767.6668,6.140990622,0,1,1,1,1,1
13357,95.0928959,1374.614106,9.46006039,100845.1687,14.45548685,0,1,1,1,1,1
13413,69.98423843,311.2605351,32.33327941,17430.45356,4.447580514,0,1,1,0,0,0
13451,83.20527338,160.8923345,22.28878972,10635.31422,1.933679537,0,1,0,0,0,0
13453,70.31888761,243.6006845,36.55779183,12145.9198,3.464228357,0,1,0,0,0,0
13471,75.60932607,160.8358061,12.58955913,8902.348407,2.12719534,0,1,0,0,0,0
13523,74.88393394,764.3020006,36.76755301,38566.35956,10.20648837,0,1,0,1,1,1
13616,153.0409794,258.2159665,142.4192531,22635.73301,1.687234148,0,1,0,0,0,0
13660,57.67399938,218.6177318,178.6894756,9581.354769,3.790576935,0,1,0,0,0,0
13715,56.68270694,262.5993347,74.38252311,8802.435092,4.63279453,0,1,0,0,0,0
13985,70.9184719,201.3846536,13.90820932,11084.18856,2.83966431,0,1,0,0,0,0
14050,75.59752047,280.6876201,39.08370589,16082.15937,3.712920985,0,1,0,0,0,0
14065,75.62810081,505.8908056,19.83866238,33356.65531,6.689190924,0,1,1,1,1,1
14069,66.10719892,303.7365426,37.50353741,15138.05406,4.594606148,0,1,0,0,0,0
14089,96.6207948,638.1065168,27.15304075,45500.68657,6.604235849,0,1,1,1,1,1
14155,441.3733198,554.507827,171.5184205,159309.9644,1.256323847,0,1,0,0,0,0
14373,226.2603063,1583.662644,179.2564666,266930.1263,6.999295057,0,1,0,1,1,1
14441,123.0374139,1324.084306,8.229665188,132411.8927,10.7616396,0,1,1,1,1,1
14473,138.111366,1453.156384,40.32767336,151263.9526,10.52162777,0,1,1,1,1,1
14500,76.79079913,775.4066832,12.46965282,50751.52787,10.09765092,0,1,1,1,1,1
14563,98.08587348,330.3186664,10.69740585,25064.00146,3.367647702,0,1,1,0,0,0
14636,421.1468981,1745.210594,4.225471794,450786.5299,4.143947403,0,1,0,1,1,1
14680,218.9201814,1212.601841,26.21040357,164784.6852,5.539013503,0,1,0,1,1,1
14769,113.772102,1063.048326,6.279637141,97243.96759,9.343664288,0,1,1,1,1,1
14890,77.77977186,354.6188016,10.34388182,21454.37031,4.559267701,0,1,1,0,0,0
14941,44.03503696,330.0001533,139.9900147,10253.9716,7.494036024,0,1,0,0,1,0
14942,114.0399247,301.321899,14.95395253,25166.06479,2.642249193,0,1,0,0,0,0
15147,136.0230763,1082.096018,10.79542432,121444.4808,7.955238537,0,1,1,1,1,1
15226,192.1286076,946.1105349,19.46902127,128125.5915,4.924360546,0,1,1,1,1,1
15242,77.57184179,483.5210129,6.543584389,34188.45756,6.23320269,0,1,1,1,1,1
15426,68.73767783,335.5794722,152.8039565,14066.8045,4.882030974,0,1,0,0,0,0
15479,283.092973,1436.210184,30.14768035,266520.0357,5.073280939,0,1,0,1,1,1
